title, genres, year, rating
There Will Be Blood,Drama|Western,2007,3.5
Ip Man,Action|Drama|War,2008,3.5
Munich,Action|Crime|Drama|Thriller,2005,4
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,4
Hard Candy,Drama|Thriller,2005,2
Final Fantasy: The Spirits Within,Adventure|Animation|Fantasy|Sci-Fi,2001,3
RV,Adventure|Children|Comedy,2006,1
From Hell,Crime|Horror|Mystery|Thriller,2001,3.5
Clerks II,Comedy,2006,2.5
K-PAX,Drama|Fantasy|Mystery|Sci-Fi,2001,3.5
Babel,Drama|Thriller,2006,4
Man Without a Past,Comedy|Crime|Drama,2002,4.5
I Heart Huckabees,Comedy,2004,2.5
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001,3.5
The Queen,Drama,2006,2.5
Monsters,Adventure|Animation|Children|Comedy|Fantasy,2001,3.5
Running With Scissors,Comedy|Drama,2006,3.5
Life Aquatic with Steve Zissou,Adventure|Comedy|Fantasy,2004,4
Ocean's Eleven,Crime|Thriller,2001,3.5
Black Snake Moan,Drama,2006,3
Scott Pilgrim vs. the World,Action|Comedy|Fantasy|Musical|Romance,2010,4
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,4
Blow,Crime|Drama,2001,3.5
Drive,Crime|Drama|Film-Noir|Thriller,2011,3
Paprika (Papurika),Animation|Mystery|Sci-Fi,2006,3
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,2
Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001,4.5
Beautiful Mind,Drama|Romance,2001,4
Freddy Got Fingered,Comedy,2001,3.5
School of Rock,Comedy|Musical,2003,2.5
Jonestown: The Life and Death of Peoples Temple,Documentary,2006,4
Resident Evil,Action|Horror|Sci-Fi|Thriller,2002,1
Lara Croft: Tomb Raider,Action|Adventure,2001,1.5
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu),Action|Animation|Drama|Sci-Fi|Thriller,2004,3.5
The Butterfly Effect,Drama|Sci-Fi|Thriller,2004,2
Spider-Man,Action|Adventure|Sci-Fi|Thriller,2002,3
Grizzly Man,Documentary,2005,4
Pearl Harbor,Action|Drama|Romance|War,2001,1
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Sci-Fi|IMAX,2002,2
Final Fantasy VII: Advent Children,Action|Adventure|Animation|Fantasy|Sci-Fi,2004,2.5
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,3
Saw,Horror|Mystery|Thriller,2004,3
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,3.5
Ocean's Twelve,Action|Comedy|Crime|Thriller,2004,3
City of God (Cidade de Deus),Action|Adventure|Crime|Drama|Thriller,2002,4
Charlie and the Chocolate Factory,Adventure|Children|Comedy|Fantasy|IMAX,2005,1
X-Men: The Last Stand,Action|Sci-Fi|Thriller,2006,3
Sum of All Fears,Drama|Thriller,2002,3
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira),Action|Animation|Sci-Fi|Thriller,2001,3.5
Bourne Identity,Action|Mystery|Thriller,2002,3
Jeepers Creepers,Horror,2001,1
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,4
12:08 East of Bucharest (A fost sau n-a fost?),Comedy|Drama,2006,3.5
Maria Full of Grace (Maria,Crime|Drama,2004,3
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Action|Comedy|Sci-Fi,2002,3
X2: X-Men United,Action|Adventure|Sci-Fi|Thriller,2003,3
Frida,Drama|Romance,2002,4
Road to Perdition,Crime|Drama,2002,4
Brokeback Mountain,Drama|Romance,2005,4
Matrix Reloaded,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,3
Saw II,Horror|Thriller,2005,3
Control,Drama,2007,4
Superman Returns,Action|Adventure|Sci-Fi|IMAX,2006,3
Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,2006,0.5
Final Fantasy: The Spirits Within,Adventure|Animation|Fantasy|Sci-Fi,2001,3.5
Wind That Shakes the Barley,Drama|War,2006,4
Kill Bill: Vol. 1,Action|Crime|Thriller,2003,4
Solaris,Drama|Romance|Sci-Fi,2002,3
Lars and the Real Girl,Comedy|Drama,2007,3.5
Let the Right One In (Låt den rätte komma in),Drama|Fantasy|Horror|Romance,2008,4
40-Year-Old Virgin,Comedy|Romance,2005,2.5
Zoolander,Comedy,2001,2.5
Austin Powers in Goldmember,Comedy,2002,3
Signs,Horror|Sci-Fi|Thriller,2002,3
Waking Life,Animation|Drama|Fantasy,2001,1.5
Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001,4
Matrix Revolutions,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,2.5
Man Who Wasn't There,Crime|Drama,2001,3
Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2001,3.5
The Butterfly Effect,Drama|Sci-Fi|Thriller,2004,4
American Pie 2,Comedy,2001,0.5
Crash,Crime|Drama,2004,2
Starsky & Hutch,Action|Comedy|Crime|Thriller,2004,4
40-Year-Old Virgin,Comedy|Romance,2005,3
Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage),Drama|War,2005,4
Ratatouille,Animation|Children|Drama,2007,4
Tony Takitani,Drama,2004,4
Dark Knight,Action|Crime|Drama|IMAX,2008,4
Lights in the Dusk (Laitakaupungin valot),Crime|Drama,2006,2
Iron Man,Action|Adventure|Sci-Fi,2008,4
Hero (Ying xiong),Action|Adventure|Drama,2002,2
Talladega Nights: The Ballad of Ricky Bobby,Action|Comedy,2006,2.5
Changing Lanes,Drama|Thriller,2002,3
WALL·E,Adventure|Animation|Children|Romance|Sci-Fi,2008,4
Renaissance,Action|Animation|Film-Noir|Sci-Fi|Thriller,2006,3
Jay and Silent Bob Strike Back,Adventure|Comedy,2001,2
Candy,Drama|Romance,2006,4
Pride & Prejudice,Drama|Romance,2005,3
Orange County,Comedy,2002,2
Dreamers,Drama,2003,4
In the Bedroom,Drama,2001,2
Metropolis,Animation|Sci-Fi,2001,3.5
Capturing the Friedmans,Documentary,2003,4
Die Another Day,Action|Adventure|Thriller,2002,3
Look of Silence,Documentary,2014,5
Quiet American,Drama|Thriller|War,2002,4
Judge,Drama,2014,3
Equilibrium,Action|Sci-Fi|Thriller,2002,2
Rat Race,Comedy,2001,1
Clouds of Sils Maria,Drama,2014,4
